img_id,final_text
71,"brugh, coffee, guji, process, roasted, whole, bean"
72,"calif, roaster, ngo, stra, natural, red"
73,"coffee, ethiopia, natural, process, butter, fresh"
74,"coffee, guinea, new, papua, cracker, graham, papaya, pan, origin, bourbon, typica, varietal, washed, process, elevation, date, roast, net"
75,"round, min, coffee, processing, ethiopia, single, strawberry, ear"
76,"mala, work"
77,"taste, flavor, citrus, peach, profile, ethiopia, metad, dec, jan, washed, fully, coffee"
78,"roasting, costa, martin, farm, catuai, tho, chocolate, berry, plum"
79,tanzania
80,light
81,"zambia, process, natural, raspberry, wine, note"
82,"yojan, playa, ano, caturra, varietal, sun, washed, apricot, grapefruit, marmalade, batch"
83,"familia, coffee, cup, fazenda, gabriel, cousin, relationship, bourbon"
84,"the, hippo, kiss, coffee, panama, rare, note, mango, raspberry, jasmine, net"
85,"lab, not, coffee, date, roast, elevation, wash, black, cinnamon, tea, ginger, whole"
86,"organic, spec, bourbon, tasting, almond, cherry, milk"
87,"batch, nine, coffee, company, colombia, tropical, washed, net"
88,"david, flores, almond, mango, cream, roast, light, chicago, roasted"
89,"station, burundi, tasting, note"
90,"rich, chocolate, bean, optimal, process, after"
91,"water, company, coffee, ethiopia, roasted, net"
92,"coffee, bodega, dark, produce, choc, washed, more, est"
93,"wave, colombia, strawberry"
94,"roaster, gesha, washed, sweet, jasmine, bergamot, lemon, roasted"
95,"archive, roaster, guatemala, sugar, lime, location, bourbon, variety, process"
96,"elevation, taste, cherry, milk, honey, colombia, santa, estate, atomic, roaster, coffee, est"
97,"ethiopia, honey, washed, processing, heirloom, mate, harvest, gram"
98,"red, poa, full, process, alma, coffee, arabica, net"
99,"ethiopia, sue, whole"
100,"made, kenya, bean, coffee, wer"
101,"since, roasted, ethiopia, yirgacheffe, lot, fruit, citrus, orange, long, black, tange, ted, africa"
102,"honey, process, thai, orange, like, flower, rose, hint, and, chocolate, northern, that, net, weight"
103,"copenhagen, lab, coffee, are, blueberry, florida"
104,"filter, peru, washed, caturra, blite, naranjilla"
105,"sweet, and, elegant, floral, filter, blossom, coffee"
106,"coffee, light, roast"
107,"balanced, well, fruit, tropical"
108,"serenity, milk, apple, process, rating, washed, natural, core, flavour, nut, bourbon, catuai, altitude, central, america, mast, south"
109,"medellin, that, coffee, tasting, low, acidity, light, weight, check, before"
110,"lincoln, roaster, origin, altitude, red, varietal, caturra, note, floral, pineapple, apricot, before, month, best, roast, date, from, weight, coffee, score, cup, park, business, unit, berkshire, gas, ane"
111,"mantel, cafe, iter, more"
112,"date, roasted, ted, origin, milk"
113,"lyon, roaster"
114,"costa, taste, like, light, grind, whole, filter, espresso, smell, the, rave, coffee, made"
115,"africa, east, can, flavour, weight, plum, dried, cranberry, loan, the, rwandan, wash, coffee, process, bourbon, rwanda, washing, station"
116,"panama, bean, ama, natural, process, met, weight, the, pedro, variety, bourbon, altitude, taste, dark, coffee"
117,"ethiopia, score, grind, altitude, roast, date, bean, whole, natural, heirloom, the, scar, note, our, like"
118,"two, this, dan, while, brewing, bod, sweet, find, cherry, cook, single, natural"
119,"horse, apricot, san, caramel, region, note, processing"
120,"roaster, station, washing, liza, process, one, bourbon, red, varietal, owner, paul, jean, with, working, been, have, sorted, using, lot, this, year, for, after, small, local, other, older, farm, from, and, cherry, land, washed, coffee, delivery, direct, table, raised, dried, producer, these, able, closely, lave, include, that, juicy, note, clean, love, the, caramel, roasted, don"
121,"nicaragua, alto, washed, sugar, brown, chocolate, almond, roasted"
122,"london, grade, coffee, medium, single, from, south, estate, nat"
123,"north, star, burundi"
124,"coffee, ethiopia, lot, altitude, local, washed, orange, blood, aug, ion"
125,"san, honduras, coffee, jasmine, apple, green, roast, filter"
126,"myanmar, washed, citrus, arabica"
127,anaerobic
128,"panama, rocky, mountain, filter, roasted"
129,"burundi, lichi, toffee"
130,"fez, caturra, san, costa, tasting, pour, with, roast"
131,"single, origin, guinea, new, medium, dork, plum, creamy"
132,"tasting, cherry, origin, var, variety, catuai, red, process, roaster, coffee"
133,"airy, typica"
134,"two, coffee, nonsense, coal, more, internet"
135,"rip, press, rwanda, producer, outpost"
136,"rip, press, rwanda, producer, outpost"
137,"bye, origin"
138,"coffee, roaster"
139,"wave, clementine, washen, stove, mad, tun, nov, dec"
140,"coffee, arabica, washed"
141,"cop, man, farm, shan, washed, flavour"
142,"elegant, juicy, and, rwanda, filter, blossom, aster, coffee"
143,"china, natural, milk, spike, old, roasted"
144,"maria, washed, note"
146,citrus
147,"mission, north, burundi, red, orange, berry, roosted"
148,"coffee, costa, washed, fully, hone, process, orange"
150,coffee
151,"boost, ethiopia, raid, dawn"
153,"hot, number, carlos, san, delicate, and, cherry, sweet"
154,"pica, bota, orange, roaster"
155,"filter, process, harvest, roasted"
156,"missing, bean, salvador, fully, honey, bourbon, chestnut"
157,"mina, road"
158,"bourbon, honey, apple, white"
159,"honduras, caramel"
160,"tanzania, tasting, lemon, with, and, flavor, roast, origin, grind, order, score, roasted"
161,"date, sai, ante, tambor, single, note, origin"
162,filter
163,"reborn, coffee, ethiopia, chocolate, orange"
164,"dealer, roaster, natural, ethiopia"
165,"forest, ethiopia, limu, natural"
166,"horse, coffee, bee, purpose, limu, field, gum, sweer, altitude, heirloom, washed, date, medium"
167,"friend, roast, ethiopia, filter, peach"
168,"net, coe, single, direct, farmer, society, round, rose"
169,"peru, dried, region, process, washed, caturra"
170,"roasting, brazil, toasted, cashew, mina"
171,"slate, coffee, roaster, sidama, gram"
172,"chimney, bean, whole, coarse, fine"
173,"chimney, bean, whole, coarse, medium, fine"
174,"lao, washen"
175,"are, roaster, variety, caturra, last, date"
176,"alchemist, walnut, nib, mal, cacao, brazil, mina, south, yellow, natural, espresso"
177,"lavender, natural"
178,"alchemist, palm, plum, red, caturra, washed, fully, espresso"
179,"alchemist, plum, panama, caturra, natural, carolina, filler"
180,"alchemist, apple, prune, sugar, cane, peru, typica, red, caturra, washed, aire, filler"
181,"one, ethiopia, origin, square, flavor, roasted, lancaster"
182,"roaster, edition, limited, stage, two, fermentation, lasting, floral, cherry"
183,"roaster, coffee, hone, red, honey, process, varietal, san, from, fantastic, bought, two, have, this, year, the, both, and, for, natural, hand, processed, complex, wonderfully, table, raised, dried, apple, note, expect, you, can, amazing, with, directly, work, able, love, finish, like, cocoa, view, information, more, code, farm, video, roasted, rect"
184,"roasted, coffee, vista, ferment, washed, process, varietal, come, fantastic, this, cover, owned, colombia, several, with, planted, are, hectare, hand, and, hour, second, clean, brown, include, inc, note, tasting, code, the, milk, information, more"
185,"roaster, coffee, pia, gora, washed, process, mixed, varietal, station, the, come, stunning, this, region, village, close, located, ethiopia, area, known, wall, and, both, washing, bin, water, large, ferment, pulp, arrival, until, hour, refresh, they, then, land, floral, complex, love, drying, for, ready, parchment, peach, raspberry, include, these, offer, that, fruit, note, more, out, find, tea, scan, prey, earl, roasted, don, best"
186,"roaster, coffee, kenya, process, land, varietal, buying, been, and, washed, produce, their, produced, one, this, pul, the, farmer, hold, small, being, before, extended, table, dried, then, brown, sugar, note, juicy, love, more, code, best"
187,"roaster, coffee, community, washed, process, various, varietal, from, the, farmer, produced, this, tree, their, harvest, each, small, cherry, ripe, harvesting, after, size, hectare, than, lace, patio, drying, land, then, delivery, rested, will, who, not, some, raised, processing, for, mill, centralized, note, with, colombian, example, tangerine, and, sugar, brown, chocolate, roasted, before, best, agriculture, non"
188,"roaster, coffee, bra, share, fare, natural, process, catuai, varietal, total, farm, owned, family, weve, brazilian, small, making, hectare, buy, able, were, and, tree, sloth, the, harvest, from, speciality, half, their, manage, marco, drying, lan, part, harvesting, traditional, balanced, well, love, patio, place, taking, include, these, this, brazil, note, fruit, dried, some, chocolate, mille, hazelnut, scan, roasted, best"
189,"roaster, coffee, peru, decaf, care, sol, water, swiss, washed, process, operative, cafe, the, come, origin, single, this, living, their, improve, and, production, through, member, harvest, farm, dry, delivery, patio, dried, site, really, export, for, prepared, mill, nutty, chocolate, milk, love, processed, berry, gentle, with, note, roasted, before"
190,"honduras, whole, honey"
191,"ethiopia, natural"
192,"wood, coffee, origin, single, producer, mate, variety, washed, ounce"
193,"roast, medium, tangy, finish, wine, whole, coffee, net"
194,"reborn, single, ethiopia, sidamo"
195,"cafe, brazil, origin, ground, light, medium, dark, net"
196,"ozone, roaster, coffee, penna, carlos, espresso, filter, white"
197,"ozone, roaster, coffee, natural, espresso, winey"
198,"ozone, roaster, coffee, cumbre, costa, espresso, filter, honey, block, pomelo"
199,"ozone, roaster, espresso, chocolate"
200,"ozone, coffee, washed, espresso, filter, lime"
201,"ozone, roaster, san, espresso, filter, white, milk"
202,"ozone, roaster, coffee, mountain, bale, espresso, filter, white, blueberry, dedo"
203,"ozone, roaster, coffee, nova, espresso, filter, roosted"
204,"barn, the, roast, coffee, currant, red, sing, washed, ust, reset"
205,"the, barn, www"
206,"roaster, chocolate, ate, best, coffee, great, bean"
207,"roaster, lemon, jasmine, washen, best, coffee, jean, great"
208,"collective, aroma"
209,"collective, rab, prod, med, cooperative"
210,"station, kenya, tasting, with, caravan, coffee, roaster"
211,"nan, producer, far, espresso, colombia, caturra, fully, and, thick, pecan, caravan, chocolate, coffee, roaster"
212,"heinz, costa, bright, ate, roaster, coffee"
213,"mexico, orange, and, brittle, caravan, coffee"
214,"lot, blacklist, dation, boa, natural"
215,"coffee, origin, ethiopia, sidama, floral, lemon, grower, roasted, process, best, medium, french, dork, light, whole, bean, park, capitol, www"
216,"for, barn, the, roaster, rwanda, mountain, raisin, milt, washed, red, berlin, roasted"
217,"barn, the, roaster, big, roasted"
218,"filter, manhattan, coffee, roaster, haman, origin, milk, colombia, juicy"
219,"kenya, vari"
220,"costa, march, varietal, altitude, note, blueberry, cream, jan"
221,"drum, roaster, gesha, ethiopia, tangerine"
222,"roaster, roasted, papaya, hacienda, ecuador, washed, typica, spice, citrus, light, nutty, balanced, smooth, roast"
223,"roast, coffee, great, best"
224,"union, hand, coffee, note, cranberry, blood, truffle, chocolate, orange, roast, process, filter"
225,"roasted, selection, single, ethiopian, specialty, natural, grade, aroma, floral, berry, ana, spice, hint"
226,"union, hand, rwanda, note, citrus, medium, red, process"
227,"cooperative, organic, bean, whole, sweden"
228,"origin, black, roasting"
229,"split, roaster, oak, kissimmee, ethiopia, origin, light, medium, vienna, dark, detail"
230,"norwegian, yellow, fazenda"
231,"coffee, roaster, organic, chocolate, and, land, finish, cocoa, dark, varietal, process, fine"
232,"inca, coffea, java, whole, dark, bean, strong, and, toasty, coffee, indonesia"
233,"ethiopia, cream, milk, produce, mixed"
234,"heart, phono, honduras, net, whole"
235,"rip, coffee, taste, origin, single, arabica, who, ground, ratch"
236,"station, gora, washed, lime"
237,"sidama, variety, process, elevation, not, fruit, net, roasted"
238,"aes, ethiopia, heirloom, averse, aroma"
239,"single, origin, jasmine, lemon"
240,"guatemala, red, orange, nuance, provenance, shed, process, mixed"
241,"brazil, rosa, santa, bodied, heavy, region, harvest, variety, catuai, yellow, producer, process, feline, natural"
242,"cost, car, triple, bed, washed, red, lime, zesty, hone, light, body, roasted"
243,"catalyst, mexico, organic, monte, ban, milk, nuance, provenance, washed, london"
244,"coffee, roaster"
245,"ground, coffee, supremo, note, tasting, caramel, chocolate, roast"
246,"aroma, sidamo, varietal, natural, tasting, clean, note, wine, net"
247,"guatemala, cherry, dark"
248,"nylon, coffee, roaster, honduras, producer, bel, amazona, variety, red, washed, process, dried, chocolate, hazelnut, espresso"
249,"panama, rocky, mountain, filter, roasted"
250,mexico
251,"nylon, roaster, guatemala, producer, caturra, plume, berry, dark, roast"
252,"nylon, coffee, roaster, guatemala, producer, juarez, variety, process, red, plum, grape, delicious, espresso"
253,"coffee, roaster, nicaragua, producer, vista, variety, anaerobic, process, tropical, fruit, raisin, roast"
254,"roaster, salvador, produce, family, variety, black, honey, raisin, cherry, dark, chocolate"
255,"produce, washed, process, peach, earl, lemon, grey"
256,"nylon, roaster, producer, variety, process, roast, filter"
257,"coffee, roaster, ethiopia, producer, variety, heirloom, process, peach, bergamot"
258,"nylon, coffee, honduras, producer, variety, java, washed, process, mandarin, nectarine, jasmine, filter, roast"
259,"lose, process, natural, lane, crop, and, date, sen, tape"
260,"freshly, single, origin, africa, ethiopia, cur, peach, processing, producer, farmer, heirloom, cultivar"
261,"freshly, roasted, single, america, salvador, chocolate, apple, wast, coffee"
262,"origin, sing, america, brazil, mina, cue, brown, sugar, apricot, processing, varietal, low"
263,"roasted, single, origin, asia, pick, varietal, coffee"
264,"ecuador, typica, coffee, ect"
265,"ich, ant"
266,"pink, ripe"
267,natural
268,"costa, toffee, vanilla, mandarin, coffee, est"
269,"kenya, fresh, and, roaster, est"
270,kenya
271,"ecuador, rich"
272,"inside, ethiopia, heirloom"
273,"mono, lomita, tostada, uva, mexican, coffee, roaster"
274,"brazil, rosa, santa, almond, bodied, heavy, region, harvest, altitude, variety, yellow, producer, process, archer"
275,"sai, temporary, this, packaging"
276,"chard, dark, chocolate, apple, butter, variety, farmer, pablo, colombia, altitude, natural, whole, beam, made, virginia"
277,"ing, hard, caturra, meter, sun, gmt"
278,"ferment, ethiopia, hone, red, orange"
279,"roaster, kenya, peaberry, county, grapefruit, chocolate, red, finish, roast, date, net"
280,"honduras, mandarin, pineapple, almond, paca, date, roast"
281,"brother, drop, lemon, jasmine, bean, who"
282,"ritual, pride, bean, coffee, net, made, san, since"
283,"roaster, almond, sweet, nectarine, net"
284,"process, net"
285,"roaster, coffee, peru, roman, tea, fig, lemon, roasted, net"
286,"anaerobic, brazil, mina, white, dried, cream, process, bean"
287,"pop, coffee, organic, small"
288,"world, old, lab, natural, don, chocolate, juicy, roasted, coffee, whole, bean"
289,"ethiopia, process, note, blueberry, aromatic, sweet, heirloom, varietal, region, con"
290,"gold, bolivia"
291,"strawberry, chocolate, whole, bean, vesta, roaster"
292,"roaster, coffee, the, earth, end, roast, chocolate, milk, toasted"
293,"roast, medium, brazil, reserve, diamond, acidity, citric, mild, brown, region, varietal"
294,"date, jam, wat, end"
295,"sidama, variety, elevation, shed, tasting, note, mango, juicy, kansa, city, missouri"
296,"our, ted, produced, many, natural, wet, people"
297,"loma, lavender, honey, roaster, ounce, whole, coffee"
298,"honey, colombia, process, note, balanced"
299,gram
300,"coffee, world, old, natural, costa, don, juicy, chocolate, roasted, prototype"
301,"method, natural, processing, mixed, lao, altitude, growing, whole, profile, grind, like, september, tea, date, strawberry, sugar, cane, net"
302,"black, harvest, elevation, shan, state, myanmar, note, luo, han, sweetness, had, eight, net, jab, date, most, roasted, honey"
303,"colombia, vanilla, green, almond, producer, process, washed"
